ResonceID,wireless.network.dissatisfaction.factor,wireless.network.dissatisfaction.text,wireless.network.feedback,myslice.satisfied,myslice.dissatisfation.factor,myslice.dissatisfation.text,myslice.feedback,video.conferencing.use,zoom.satisfied,zoom.dissatisfaction.factor,zoom.dissatisfaction.text,teams.vid.satisfied,teams.vid.dissatisfaction.factor,teams.vid.dissatisfaction.text,balance.security.usability,security.min.impact.on.work,security.effective.communication,security.know.who.to.talk.to,security.yearly.training,security.feedback,teach.2021-22,teach.platforms,blackboard.satisfied,blackboard.dissatisfation.factor,blackboard.dissatisfation.text,kaltura.satisfied,kaltura.dissatisfation.factor,kaltura.dissatisfation.text,playposit.satisfied,playposit.dissatisfation.factor,playposit.dissatisfation.text,google.suite.satisfied,google.suite.dissatisfation.factor,google.suite.dissatisfation.text,teaching.tools.find.information,teaching.tools.help.support,teaching.tools.communication,teaching.tools.feedback,assistive.tech.use,assistive.tech.use.list,assistive.tech.use.text,syracuse.edu.navigation,syracuse.edu.organization,accessibility.feedback,accessibility.policy.knowlege,accessibility.doc.creation.impact,accessibility.aware.toolkit,accessibility.professional.development,accessibility.feedback,campus.resources.text,it.challenges.text.1,it.challenges.text.2,it.challenges.text.3
34,,,"As a new employee, explicit instructions of what network to join and how to do so, on first day of employment, would have been helpful.  Perhaps include in new employee onboarding training.",Agree,,,,Yes,Strongly agree,,,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Strongly agree,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,"Computers, wifi network, zoom conferencing, email, myslice, blackboard.",,,
35,,,,Somewhat agree,,,I do not find Myslice as intuitive to use as it was in the past.,Yes,Strongly agree,,,,,,Agree,Agree,Agree,Somewhat agree,Disagree,,Yes,"Blackboard,Kaltura",Agree,,,Agree,,,,,,,,,Agree,Agree,Agree,,No,,,Somewhat agree,Somewhat disagree,,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,,,,,
36,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Somewhat agree,,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,,,"I am not sure if this is under the control of ITS, but SU relies heavily on ""Answers"" and when I have questions I am always directed to Answers.  Answers is horrible...it is so difficult to find any ""answers"" on Answers. I hate it.",,
37,,,,Agree,,,,Yes,Strongly agree,,,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Strongly agree,Disagree,Somewhat agree,Somewhat agree,,,,,
38,Ease of connection,,,Disagree,"Ease of use,Platform reliability,Platform features,Other",Stale login request!,,Yes,Somewhat agree,,,,,,Agree,Agree,Agree,Agree,Disagree,,Yes,Blackboard,Agree,,,,,,,,,,,,Agree,Agree,Agree,,No,,,Agree,Agree,,Agree,Somewhat disagree,Agree,Somewhat agree,,,"My office is in the basement of HBC and there is no cell service there. As a single parent, it makes me nervous to be unreachable for long periods of time. I'm not sure this problem is solvable, however :). ",,
39,,,,Disagree,Ease of use,,,Yes,Somewhat disagree,Information Technology Services support for using/troubleshooting,,,,,Disagree,Strongly Disagree,Disagree,Strongly disagree,Disagree,,Yes,Blackboard,Somewhat agree,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Disagree,,No,,,Disagree,Disagree,,Agree,Strongly disagree,Agree,Somewhat disagree,,None. IT team at Whitman ineffective at resolving campus computing problems. ,Admin rights needed to install apps on work computers. ,Problems are not resolved fast and in a reliable manner. ,IT team not effective to serve the research faculty. 
40,,,,Strongly agree,,,,Yes,Agree,,,Strongly agree,,,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,,,,,Yes they do a great job. I would like to see more streaming and production resources. ,,,
41,,,,Agree,,,"I started teaching a class as an adjunct this semester, so Blackboard was definitely a learning curve, as figuring out some things on Blackboard such as uploading assignments for students with a ""submit"" option, weren't straightforward on Blackboard.  It would be nice to have some more resources to assist with those aspects.",Yes,Agree,,,Agree,,,Agree,Somewhat agree,Agree,Agree,Agree,,Yes,Blackboard,Somewhat agree,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,See feedback from earlier comment about Blackboard.,No,,,Agree,Agree,,Somewhat disagree,Agree,Disagree,Somewhat disagree,,"MySlice, library specific programs I need to be able to complete my day job duties.",,,
42,,,Wish there was a way to prevent use of hotspots,Somewhat disagree,"Ease of use,Other",it seems like a hodgepodge and the items I used often aren't represented on the tiles.,,Yes,Somewhat agree,,,Agree,,,Agree,Agree,Agree,Strongly agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Strongly agree,Disagree,Agree,Agree,The policy is difficult when dealing with scientific software.  The software is rarely accessible but is the only option available.  The process is too time consuming for software that is the only choice.,,,,
43,,,No issues.. strong signal.,Strongly agree,,,"I haven't experienced very many changes at this point, and have received limited communications regarding MySlice changes.",Yes,Strongly agree,,,Agree,,,Strongly agree,Agree,Agree,Strongly agree,Somewhat agree,no,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Agree,Search function through the website is not always very helpful and accurate.. makes it difficult to find things quickly sometimes.,Somewhat agree,Agree,Somewhat disagree,Disagree,,"MySlice, DegreeWorks, IT Support",Fast Requests and gaining access to the information that I need to do my  job.  ,,
44,,,Speed and connectivity are great across most of campus.,Agree,,,,Yes,Agree,,,Agree,,,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat agree,Somewhat agree,Agree,Strongly agree,,,,,
45,,,,Agree,,,,Yes,Somewhat agree,,,Agree,,,Strongly agree,Agree,Agree,Agree,Strongly agree,,No,,,,,,,,,,,,,,,,,,No,,,Disagree,Disagree,,Somewhat agree,Somewhat agree,,Somewhat disagree,,Networking/Internet access,Campus primary web sites are dumbed down and make it difficult to find any real details about anything.,Accessibility demands sometimes are taken to an extreme that makes purchasing new software or services almost impossible.,
46,,,,Strongly agree,,,,Yes,Agree,,,Agree,,,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Strongly disagree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat disagree,Somewhat disagree,,Somewhat disagree,,,,,Most of the resources I use work well. I have had problems accessing rds lately - it just doesn't connect - I don't know what part of computing resources that is. ,Be able to download software onto my computer myself.,,
47,"Ease of connection,Stability",,"Many times, I am not able to connect or the connection drops",Agree,,,,Yes,Strongly agree,,,,,,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Disagree,,Yes,"Blackboard,Kaltura",Agree,,,Somewhat agree,,,,,,,,,Agree,Agree,Agree,,No,,,Somewhat agree,Somewhat agree,,Agree,Somewhat disagree,Disagree,Strongly disagree,,,,,
48,,,,Disagree,Ease of use,,,Yes,Agree,,,Disagree,"Ease of use,Picture quality,Sound quality",,Agree,Somewhat disagree,Somewhat agree,,,"I travel internationally for work and use my SU laptop. It is often hard for my laptop to pick up internet wifi abroad and even harder to access my SU interface, Direct Access, while traveling abroad for work. ",No,,,,,,,,,,,,,,,,,,No,,,Agree,Somewhat agree,,Disagree,Agree,Disagree,Agree,,,,,
49,,,,Somewhat agree,,,,No,,,,,,,Disagree,Agree,Disagree,Disagree,Disagree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly disagree,Strongly disagree,,Agree,Agree,Somewhat agree,Disagree,,,,,
50,Stability,,,Agree,,,,Yes,Strongly agree,,,Agree,,,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,Agree,Agree,Strongly agree,,,,,
51,,,,Strongly agree,,,,No,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Disagree,Strongly agree,,,,,
52,,,,Disagree,Ease of use,,I wish the portal would have a more modern look,Yes,Strongly agree,,,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat agree,Disagree,Agree,,,,,,
53,,,,Somewhat agree,,,"The system is not necessarily intuitive much like other systems (e.g., Blackboard), which I use extensively in my classes.  It is difficult to find some information in these systems.",Yes,Strongly agree,,,Strongly disagree,"Ease of use,Picture quality,Information Technology Services support for using/troubleshooting",,Somewhat disagree,Somewhat agree,,Disagree,Strongly disagree,,Yes,"Blackboard,Google Suite",Somewhat agree,,,,,,,,,Strongly agree,,,Somewhat disagree,Somewhat agree,,,No,,,Agree,,,Somewhat agree,Somewhat disagree,Disagree,Strongly agree,,,,,
54,,,dependable,Somewhat agree,,,,Yes,Agree,,,Agree,,,Agree,Somewhat disagree,Strongly agree,Agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Strongly agree,Somewhat agree,Strongly agree,Agree,,"networking, data warehouse, Zoom, Kaltura, o365 tools, MS Teams",redundant solutions can be confusing - streamline choices and standardization.,lack of a large network file storage solution.,
55,,,patchy in some places,Agree,,,,Yes,Disagree,"Reliability,Picture quality,Sound quality",,Disagree,"Ease of use,Reliability,Picture quality,Sound quality",,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,,Yes,"Blackboard,Google Suite",Somewhat disagree,"Ease of use,Platform reliability,Platform features",,,,,,,,Disagree,"Ease of use,Platform reliability,Platform features",,Somewhat disagree,Somewhat agree,Somewhat disagree,,No,,,Agree,Somewhat agree,,Somewhat disagree,Somewhat disagree,Disagree,Agree,,My personal machine and the local IT support ,support for teaching stations - we often discover issues in the moment  - i try to access my rooms 15mins before and on those timescales if an issue occurs the IT response can't help me especially off campus in the warehouse ,,
56,Ease of connection,,it ask me for domain name,Strongly agree,,,,Yes,Strongly agree,,,Strongly agree,,,Agree,Agree,Somewhat agree,Strongly disagree,Disagree,"If your email is hacked and it affects people on campus, there should be a way to let the individuals across campus know. ",No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,,,,,,,,,
57,,,Spotty in some areas,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,,,,,,,,
58,,,I also use eduroam,Somewhat disagree,Ease of use,,,No,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,,Yes,"Blackboard,Kaltura",Somewhat disagree,"Ease of use,Platform features",,Somewhat agree,,,,,,,,,Somewhat agree,Agree,Somewhat disagree,Timing of changes is terrible,No,,,Somewhat disagree,Somewhat disagree,"Overall, the information is not streamlined.  It may be slightly better than a few years ago. Different colleges and schools have different set-ups. ",Disagree,Disagree,Somewhat agree,,  ,,Please do a better job of keeping printers supplied with paper.,,
59,,,,Somewhat disagree,"Ease of use,Other",login,,Yes,Agree,,,Somewhat agree,,,,Somewhat agree,,Agree,Disagree,,Yes,Blackboard,Strongly disagree,"Ease of use,Platform features,Information Technology Services support for using/troubleshooting",,,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat agree,Access to Blackboard support is challenging. Once I get to the staff they are very competent and responsive.,No,,,Strongly disagree,Strongly disagree,The website requires far too many clicks to get to sites that should be readily available. Some landing pages are incorrect and some department pages are nearly impossible to find.,Strongly agree,Agree,Agree,Disagree,,,Getting through to a Blackboard support person can be ridiculously difficult.,The SU website lands on a page that then requires navigation to get to a page that should be the landing page. Huh?,Some academic programs are (and have been for many years) very difficult to navigate to (the SU default seems to be to direct people to the course catalog rather than the departments).
60,,,Only issue is in the Stadium.,Strongly agree,,,,Yes,Strongly agree,,,Strongly agree,,,Agree,Strongly agree,Strongly agree,Agree,Somewhat disagree,Yearly would be best.,No,,,,,,,,,,,,,,,,,,No,,,Somewhat disagree,Somewhat disagree,The website is very difficult to navigate.,Agree,Agree,Agree,Agree,Yearly training would be helpful.,ASK,Laptop issues that slow me down. Better equipment purchases.,,
61,,,,Agree,,,,No,,,,,,,Agree,Disagree,Agree,Disagree,Disagree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat disagree,,Disagree,,,,,None,"E.m.s. control operators are ineffective in their ability to do assist me in doing my job effectively. S.u. needs to hire qualified personal, not friends and family just to fill a position ",Unable to make changes to equipment using my tablet. Energy management should give us technicians access to change or control equipment we are working on.,
62,,,It is still spotty in many places ,Disagree,"Ease of use,Information Technology Services support for using/troubleshooting,Other",Poor navigation features for disabled users,Again it is often difficult to navigate ,Yes,Agree,,,Somewhat disagree,"Ease of use,Reliability,Information Technology Services support for using/troubleshooting",,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,Yes,Voiceover for Mac,,Somewhat agree,Somewhat disagree,Zero IT support for disabled faculty ,Agree,Strongly disagree,Agree,Agree,I don’t believe SU has any demonstrated competence in this area ,It’s adequate at best ,Poor support for screen readers ,"Poor website construction per above
",Lack of professional support for above 
63,"Speed,Information Technology Services support for using/troubleshooting",,I'd like to be able to connect a mini google (but can not),Somewhat agree,,,,Yes,Agree,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Disagree,Disagree,,Disagree,Somewhat agree,Disagree,Agree,,,"As a new hire, I find it difficult to know 'who' to talk to and 'where' to find information for what is needed.  An on-boarding video would be great.",,
64,,,good,Disagree,"Ease of use,Platform reliability,Platform features",,,Yes,Agree,,,Disagree,"Ease of use,Reliability,Picture quality",,Agree,Agree,Agree,Agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat disagree,Somewhat disagree,,Somewhat agree,Somewhat agree,Agree,Agree,,,,,
65,,,,Agree,,,,Yes,Somewhat agree,,,,,,Agree,Agree,Agree,Agree,Disagree,,Yes,Blackboard,Somewhat agree,,,,,,,,,,,,,Agree,Somewhat agree,,No,,,Somewhat disagree,Somewhat disagree,academic (like calendar) require lots of mouse clicks,Agree,Somewhat agree,Disagree,Disagree,,,,,
66,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Somewhat disagree,Changing my password every year is annoying,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,Agree,Somewhat agree,Disagree,,,,,
67,,,,Agree,,,Advisors could really benefit from use of the Advisor's Center in MySlice. I've used it at prior institutions and it is incredibly helpful to obtain student information in a single place instead of having to navigate through multiple menus that can be counterintuitive. ,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Disagree,Disagree,"The search functionality of our website needs a lot of improvement. I find it very difficult to navigate to department pages and locate contact information. I have worked here for 6 years and still struggle with the website, so I can only imagine what our current and prospective student experiences are like. ",Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,,,"Lack of a centralized location to see all relevant student information, such as Advisor's Center in MySlice.",Degree Works reporting needs to be prioritized and supported,
68,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,,Agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,,,,,,,,,
